Group,Protocols,Winners,Highscores,Winners,Highscores,Winners,Highscores,Winners,Highscores
Familiar Faces,Famous Faces Roll. Famous Faces Scaling,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0
<<<<<<< Updated upstream
Char Rotation,English Chars Roll. Nonsense Chars Roll. Chinese Chars Roll,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0
Word Rotation,English Words Roll. Long English Words Roll. Nonsense Words Roll. Long Nonsense Words Roll,abby. . . . abby. . . ,48128. 0. 0. 0. 48128. 0. 0. 0,abby. . . . abby. . . . ,47713. 0. 0. 0. 47713. 0. 0. 0. 0,abby. . . . abby. . . . ,47228. 0. 0. 0. 47228. 0. 0. 0. 0,abby. . . . abby. . . . ,47717. 0. 0. 0. 47717. 0. 0. 0. 0
Char Scaling,English Chars Scaling. Nonsense Chars Scaling. Chinese Chars Scaling,Jackson. . . . Jackson. . . . ,48942. 0. 0. 0. 48942. 0. 0. 0. 0,Jackson. . . . Jackson. . . . ,39344. 0. 0. 0. 39344. 0. 0. 0. 0,Jackson. . . . Jackson. . . . ,46271. 0. 0. 0. 46271. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0
Word Scaling,English Words Scaling. Long English Words Scaling. Nonsense Words Scaling. Long Nonsense Words Scaling,Jackson. . . . Jackson. . . ,44804. 0. 0. 0. 44804. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,Jackson. . . . Jackson. . . . ,42931. 0. 0. 0. 42931. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0
=======
Char Rotation,English Chars Roll. Nonsense Chars Roll. Chinese Chars Roll,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,. . . . . . . . ,34676. 0. 0. 0. 34676. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0
Word Rotation,English Words Roll. Long English Words Roll. Nonsense Words Roll. Long Nonsense Words Roll,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0
Char Scaling,English Chars Scaling. Nonsense Chars Scaling. Chinese Chars Scaling,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0
Word Scaling,English Words Scaling. Long English Words Scaling. Nonsense Words Scaling. Long Nonsense Words Scaling,Jackson. . . . Jackson. . . . ,951. 0. 0. 0. 951. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,Jackson. . . . Jackson. . . . ,42931. 0. 0. 0. 42931. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0
>>>>>>> Stashed changes
Scaling plus Rotation,Random Rotation And Scaling,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0
Simulated Scaling,Four Degrees 70 cm. Four Degrees 140 cm. Eight Degrees 140 cm. Eight Degrees 280 cm. ,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0,cm600286. . . . . . . . . ,0. 0. 0. 0. 0. 0. 0. 0. 0. 0
